[15:32:48] [INFO] received Windows console close event; shutting log-core down
[15:33:04] [INFO] received Windows console close event; shutting log-core down
[15:34:45] [INFO] received Windows console close event; shutting log-core down
[15:35:03] [INFO] received Windows console close event; shutting log-core down
[15:35:29] [INFO] received Windows console close event; shutting log-core down
[15:48:51] [INFO] received Windows console close event; shutting log-core down
[16:00:08] [INFO] received Windows console close event; shutting log-core down
[16:16:36] [INFO] received Windows console close event; shutting log-core down
[16:16:40] [INFO] received Windows console close event; shutting log-core down
[16:24:07] [INFO] received Windows console close event; shutting log-core down
[16:24:11] [INFO] received Windows console close event; shutting log-core down
[17:25:17] [INFO] received Windows console close event; shutting log-core down
[17:35:17] [INFO] received Windows console close event; shutting log-core down
[18:08:30] [INFO] received Windows console close event; shutting log-core down
[18:49:47] [INFO] received Windows console close event; shutting log-core down
[18:57:55] [INFO] received Windows console close event; shutting log-core down
[19:11:34] [INFO] received Windows console close event; shutting log-core down
[19:24:43] [INFO] received Windows console close event; shutting log-core down
[19:29:52] [INFO] received Windows console close event; shutting log-core down
[19:33:04] [INFO] received Windows console close event; shutting log-core down
[19:38:41] [INFO] received Windows console close event; shutting log-core down
[19:38:48] [INFO] received Windows console close event; shutting log-core down
[08:45:27] [INFO] received Windows console close event; shutting log-core down
[09:26:32] [INFO] received Windows console close event; shutting log-core down
[09:26:38] [INFO] received Windows console close event; shutting log-core down
[09:42:32] [INFO] received Windows console close event; shutting log-core down
[09:50:23] [INFO] received Windows console close event; shutting log-core down
[09:54:33] [INFO] received Windows console close event; shutting log-core down
[09:59:55] [INFO] received Windows console close event; shutting log-core down
[10:06:20] [INFO] received Windows console close event; shutting log-core down
[10:10:44] [INFO] received Windows console close event; shutting log-core down
[10:21:57] [INFO] received Windows console close event; shutting log-core down
[10:34:43] [INFO] received Windows console close event; shutting log-core down
[10:39:30] [INFO] received Windows console close event; shutting log-core down
[11:03:15] [INFO] received Windows console close event; shutting log-core down
[11:06:24] [INFO] received Windows console close event; shutting log-core down
[11:13:35] [INFO] received Windows console close event; shutting log-core down
